Word,Reading,Sequence,ID,Length,Kanji,Priority,PriorityReading,PriorityNF,PriorityIchi,PriorityNews,PrioritySpec,PriorityGai,IsCommon,IsFalseReading,IsUsuallyKana,IsSometimesKana,Info,InfoReading
そうこうしている内に,そうこうしているうちに,2788160,"そうこうしている内に,そうこうしているうちに,1",10,内,spec1,spec1,0,0,0,1,0,True,False,True,True,,
そう言う,そういう,1394680,"そう言う,そういう,1",4,言,spec1,spec1,0,0,0,1,0,True,False,True,True,,
そう言えば,そういえば,1982210,"そう言えば,そういえば,1",5,言,spec1,spec1,0,0,0,1,0,True,False,True,True,,
そう言った,そういった,2008640,"そう言った,そういった,1",5,言,spec1,spec1,0,0,0,1,0,True,False,True,True,,
そこら辺,そこらへん,2072990,"そこら辺,そこらへん,1",4,辺,spec1,spec1,0,0,0,1,0,True,False,True,True,,
その上,そのうえ,1006880,"その上,そのうえ,1",3,上,ichi1,ichi1,0,1,0,0,0,True,False,False,False,,
その中,そのなか,2755690,"その中,そのなか,1",3,中,spec1,spec1,0,0,0,1,0,True,False,False,False,,
その他,そのほか,1006900,"その他,そのほか,1",3,他,spec1,ichi1 spec1,0,0,0,1,0,True,False,False,False,,
その内,そのうち,1006930,"その内,そのうち,1",3,内,ichi1,ichi1,0,1,0,0,0,True,False,True,True,,
その内に,そのうちに,2197170,"その内に,そのうちに,1",4,内,spec1,spec1,0,0,0,1,0,True,False,True,True,,
その外,そのほか,1006900,"その外,そのほか,1",3,外,ichi1,ichi1 spec1,0,1,0,0,0,True,False,False,False,,
その様,そのよう,2106890,"その様,そのよう,1",3,様,spec1,spec1,0,0,0,1,0,True,False,True,True,,
